id,name,iso3,geometry,lat,lon,export,import,trans,throughput
port995,"Portland, ME_U.S.A.",USA,POINT (-70.26948212709436 43.63649353989805),43.636493539898055,-70.26948212709436,2477610952.6489735,6909682766.052965,85706583.15951465,9473000301.861454
port582,Kobenhavn_Denmark,DNK,POINT (12.61533352102492 55.69510321588264),55.69510321588264,12.615333521024915,2471447847.596482,3998012390.482918,457433629.9787091,6926893868.058108
port1282,Tema_Ghana,GHA,POINT (0.0007896226035501763 5.626168215199538),5.626168215199538,0.0007896226035501763,2467737157.670143,9106629372.53795,1091330367.4127853,12665696897.620878
port510,Izmir_Turkey,TUR,POINT (27.15610908859993 38.44315770297018),38.443157702970176,27.15610908859993,2454916661.6248665,4014733508.257161,1714922349.0800877,8184572518.962115
port811,New Mangalore_India,IND,POINT (74.8188795524312 12.93776392833296),12.937763928332963,74.8188795524312,2428546699.501739,5503205684.684669,139956939.05094597,8071709323.237353
port256,Come By Chance Harbor_Canada,CAN,POINT (-54.00048293234882 47.78874082562783),47.78874082562783,-54.000482932348824,2427654477.8308096,371203148.2881157,2618294689.8915157,5417152316.010441
port717,Matadi_Democratic Republic of the Congo,COD,POINT (13.44436671724751 -5.827041368666613),-5.827041368666613,13.444366717247508,2423414729.7428727,3003354548.571535,259121552.9851932,5685890831.299601
port1309,Tonghae_South Korea,KOR,POINT (129.1384588749843 37.4880913966975),37.4880913966975,129.13845887498425,2417415312.587344,7075060629.298659,0.0,9492475941.886003
port124,Bata_Equatorial Guinea,GNQ,POINT (9.739146967804762 1.825625915861571),1.8256259158615709,9.739146967804762,2412033150.469985,336517919.1038354,2705702.253780156,2751256771.827601
port427,Guaymas_Mexico,MEX,POINT (-110.8673642057937 27.9233131758105),27.923313175810502,-110.86736420579369,2372796041.621274,376260970.3117514,3093.409282887097,2749060105.342308
port1288,Tha Thong_Thailand,THA,POINT (99.36651889241817 9.175864329727407),9.175864329727407,99.36651889241817,2353278023.882982,131347374.66974707,0.0,2484625398.5527287
port169,Brevik_Norway,NOR,POINT (9.692281148463389 59.06385806269804),59.06385806269804,9.692281148463389,2336695267.9531384,1381694086.9695392,53717460.76406794,3772106815.6867456
port205,Calabar_Nigeria,NGA,POINT (8.325139169155197 5.007882924271452),5.007882924271452,8.325139169155197,2316362599.23991,292053046.1531333,0.0,2608415645.3930435
port294,Djibouti_Djibouti,DJI,POINT (43.10371866277629 11.59746443353415),11.59746443353415,43.10371866277629,2306136778.0915327,8800094142.01446,1040521874.9123205,12146752795.018312
port132,Bayrut_Lebanon,LBN,POINT (35.52852626214553 33.90234183027919),33.90234183027919,35.528526262145526,2298794748.093854,9670579720.142612,6466141025.803476,18435515494.03994
port62,Aratu_Brazil,BRA,POINT (-38.4879905805165 -12.78345046189613),-12.783450461896127,-38.487990580516495,2288258233.801492,1714591439.793811,15382697.084689327,4018232370.6799927
port977,Port Sudan_Sudan,SDN,POINT (37.23334444722195 19.603932998841),19.603932998840996,37.233344447221945,2287806873.864806,5995226707.385108,82659002.14324826,8365692583.393163
port80,Augusta_Italy,ITA,POINT (15.183932202418 37.19392264018573),37.19392264018573,15.183932202418001,2277691970.2683196,578906913.7560623,2882422142.074959,5739021026.09934
port508,Iwakuni Ko_Japan,JPN,POINT (132.2369597930725 34.20374226174784),34.20374226174784,132.23695979307246,2254857100.355817,2312017295.6981535,1116748419.6210022,5683622815.674973
port1239,Susaki Ko_Japan,JPN,POINT (133.2915766906494 33.39265719291515),33.39265719291515,133.29157669064938,2248019723.3216844,736777688.8668596,0.0,2984797412.188544
port757,Mombasa_Kenya,KEN,POINT (39.63446709684509 -4.048091982541382),-4.048091982541382,39.634467096845086,2244390722.285619,8380195733.243972,409884864.36421156,11034471319.893803
port1267,Tanjung Benete_Indonesia,IDN,POINT (116.7448775320404 -8.901785946976817),-8.901785946976817,116.74487753204045,2241498769.0973597,1507573030.4590552,26311.425133060704,3749098110.981548
port1136,Salina Cruz_Mexico,MEX,POINT (-95.18846508600525 16.19017688345231),16.19017688345231,-95.18846508600525,2235374859.1507683,211800207.82368374,202638923.78622076,2649813990.7606726
port19,Al Aqabah_Jordan,JOR,POINT (34.95864073791591 29.45171188836525),29.451711888365246,34.958640737915914,2233431794.5504346,2484117235.347357,24422298.617927186,4741971328.515718
port796,Narvik_Norway,NOR,POINT (17.4110264747677 68.42231694970069),68.42231694970069,17.4110264747677,2203052632.665721,81926333.40298724,0.0,2284978966.0687084
